SELETED COMMODITIES,SECTOR,exp_growth,imp_growth,trade_balance
NATURAL RUBBER,AGRICULTURE,-9.298842663151763,-11.104864378970476,-2014.9239590000002
SAWLOG,AGRICULTURE,3.225112213560699,-29.36573380897707,467.194291
SAWN TIMBER & MOULDINGS,AGRICULTURE,-1.3846679164442766,-2.330526960294055,2273.4870879999994
PALM OIL,AGRICULTURE,-0.13647189661866177,-8.229489004038742,54797.721081
TIN,MINING,-4.763226066490345,-5.29398050729391,1333.244893
CRUDE PETROLEUM,MINING,31.78543278535912,144.90966562165332,-32239.839389999997
LIQUEFIED NATURAL GAS,MINING,33.31162255344843,264.4294343256039,53236.408359
ELECTRICAL & ELECTRONIC PRODUCTS ,MANUFACTURING,13.548091363143877,7.777317750516382,219510.78424499987
"CHEMICAL & CHEMICAL PRODUCTS 
(EXCLUDE PLASTICS IN NON-PRIMARY 
FORMS)",MANUFACTURING,1.338075963767521,5.020899467812306,-32971.42721199995
"MACHINERY, EQUIPMENT & PARTS",MANUFACTURING,7.889363854464898,15.014779854279986,-31959.64983600001
PETROLEUM PRODUCTS,MANUFACTURING,28.287996918735153,28.675643323070148,5558.460407000035
MANUFACTURES OF METAL,MANUFACTURING,-4.067207740305784,9.642506722092703,-8494.503188999995
TRANSPORT EQUIPMENT,MANUFACTURING,5.73946103883845,30.200870570858086,-37900.477541
OPTICAL & SCIENTIFIC EQUIPMENT,MANUFACTURING,8.522599314919855,7.430027608274581,23617.794774
PROCESSED FOOD,MANUFACTURING,11.078310121834834,7.537843657595572,1752.2157969999935
"TEXTILES, APPARELS & FOOTWEAR",MANUFACTURING,0.9692877598839078,15.864416824685229,-2696.1009580000064
IRON & STEEL PRODUCTS,MANUFACTURING,2.561042605367825,-2.1684904454431497,-1525.5533870000072
MANUFACTURE OF PLASTICS,MANUFACTURING,0.5025658183819837,5.756995612091581,1128.662288999998
PAPER & PULP PRODUCTS,MANUFACTURING,16.68499165706804,1.7193037539288358,-806.295283999998
RUBBER PRODUCTS,MANUFACTURING,-40.66641358820153,-23.666315400885974,11686.235296
"PALM OIL-BASED MANUFACTURED 
PRODUCTS",MANUFACTURING,0.9814312491143673,8.81171979021399,21957.143523
NON-METALLIC MINERAL PRODUCTS,MANUFACTURING,8.68857500172341,7.869780349265443,3899.1952210000018
BEVERAGES & TOBACCO,MANUFACTURING,11.563985502999131,18.812407124031445,-472.3963279999998
JEWELLERY,MANUFACTURING,15.815107275635576,24.288951086588895,65.86684899999909
WOOD PRODUCTS,MANUFACTURING,-4.270311281138239,-4.664232338730034,9730.554216999997
